Vivado Simulator 2020.2
Time resolution is 1 ps
 0 *  0 =  0 | OF = 0
 0 *  1 =  0 | OF = 0
 0 *  2 =  0 | OF = 0
 0 *  3 =  0 | OF = 0
 0 *  4 =  0 | OF = 0
 0 *  5 =  0 | OF = 0
 0 *  6 =  0 | OF = 0
 0 *  7 =  0 | OF = 0
 0 *  8 =  0 | OF = 0
 0 *  9 =  0 | OF = 0
 0 * 10 =  0 | OF = 0
 0 * 11 =  0 | OF = 0
 0 * 12 =  0 | OF = 0
 0 * 13 =  0 | OF = 0
 0 * 14 =  0 | OF = 0
 0 * 15 =  0 | OF = 0
 1 *  0 =  0 | OF = 0
 1 *  1 =  1 | OF = 0
 1 *  2 =  2 | OF = 0
 1 *  3 =  3 | OF = 0
 1 *  4 =  4 | OF = 0
 1 *  5 =  5 | OF = 0
 1 *  6 =  6 | OF = 0
 1 *  7 =  7 | OF = 0
 1 *  8 =  8 | OF = 0
 1 *  9 =  9 | OF = 0
 1 * 10 = 10 | OF = 0
 1 * 11 = 11 | OF = 0
 1 * 12 = 12 | OF = 0
 1 * 13 = 13 | OF = 0
 1 * 14 = 14 | OF = 0
 1 * 15 = 15 | OF = 0
 2 *  0 =  0 | OF = 0
 2 *  1 =  2 | OF = 0
 2 *  2 =  4 | OF = 0
 2 *  3 =  6 | OF = 0
 2 *  4 =  8 | OF = 0
 2 *  5 = 10 | OF = 0
 2 *  6 = 12 | OF = 0
 2 *  7 = 14 | OF = 0
 2 *  8 =  0 | OF = 1
 2 *  9 =  2 | OF = 1
 2 * 10 =  4 | OF = 1
 2 * 11 =  6 | OF = 1
 2 * 12 =  8 | OF = 1
 2 * 13 = 10 | OF = 1
 2 * 14 = 12 | OF = 1
 2 * 15 = 14 | OF = 1
 3 *  0 =  0 | OF = 0
 3 *  1 =  3 | OF = 0
 3 *  2 =  6 | OF = 0
 3 *  3 =  9 | OF = 0
 3 *  4 = 12 | OF = 0
 3 *  5 = 15 | OF = 0
 3 *  6 =  2 | OF = 1
 3 *  7 =  5 | OF = 1
 3 *  8 =  8 | OF = 1
 3 *  9 = 11 | OF = 1
 3 * 10 = 14 | OF = 1
 3 * 11 =  1 | OF = 1
 3 * 12 =  4 | OF = 1
 3 * 13 =  7 | OF = 1
 3 * 14 = 10 | OF = 1
 3 * 15 = 13 | OF = 1
 4 *  0 =  0 | OF = 0
 4 *  1 =  4 | OF = 0
 4 *  2 =  8 | OF = 0
 4 *  3 = 12 | OF = 0
 4 *  4 =  0 | OF = 1
 4 *  5 =  4 | OF = 1
 4 *  6 =  8 | OF = 1
 4 *  7 = 12 | OF = 1
 4 *  8 =  0 | OF = 1
 4 *  9 =  4 | OF = 1
 4 * 10 =  8 | OF = 1
 4 * 11 = 12 | OF = 1
 4 * 12 =  0 | OF = 1
 4 * 13 =  4 | OF = 1
 4 * 14 =  8 | OF = 1
 4 * 15 = 12 | OF = 1
 5 *  0 =  0 | OF = 0
 5 *  1 =  5 | OF = 0
 5 *  2 = 10 | OF = 0
 5 *  3 = 15 | OF = 0
 5 *  4 =  4 | OF = 1
 5 *  5 =  9 | OF = 1
 5 *  6 = 14 | OF = 1
 5 *  7 =  3 | OF = 1
 5 *  8 =  8 | OF = 1
 5 *  9 = 13 | OF = 1
 5 * 10 =  2 | OF = 1
 5 * 11 =  7 | OF = 1
 5 * 12 = 12 | OF = 1
 5 * 13 =  1 | OF = 1
 5 * 14 =  6 | OF = 1
 5 * 15 = 11 | OF = 1
 6 *  0 =  0 | OF = 0
 6 *  1 =  6 | OF = 0
 6 *  2 = 12 | OF = 0
 6 *  3 =  2 | OF = 1
