Vivado Simulator 2020.2
Time resolution is 1 ps
tCLK | Ai Bi Ci | Ao Bo Co | OF |
t 0 |  0  0  0 |  x  x  x | x |
t 1 |  0  1  0 |  x  x  x | 0 |
t 2 |  0  2  0 |  0  0  0 | 0 |
t 3 |  0  3  0 |  0  1  0 | 0 |
t 4 |  1  0  0 |  0  2  0 | 0 |
t 5 |  1  1  0 |  0  3  0 | 0 |
t 6 |  1  2  0 |  1  0  0 | 0 |
t 7 |  1  3  0 |  1  1  1 | 0 |
t 8 |  2  0  0 |  1  2  2 | 0 |
t 9 |  2  1  0 |  1  3  3 | 0 |
t10 |  2  2  0 |  2  0  0 | 0 |
t11 |  2  3  0 |  2  1  2 | 0 |
t12 |  3  0  0 |  2  2  4 | 0 |
t13 |  3  1  0 |  2  3  6 | 0 |
t14 |  3  2  0 |  3  0  0 | 0 |
t15 |  3  3  0 |  3  1  3 | 0 |
t16 |  0  0  0 |  3  2  6 | 0 |
t17 |  0  1  0 |  3  3  9 | 0 |
t18 |  0  2  0 |  0  0  0 | 0 |
t19 |  0  3  0 |  0  1  0 | 0 |
t20 |  1  0  0 |  0  2  0 | 0 |
t21 |  1  1  0 |  0  3  0 | 0 |
t22 |  1  2  0 |  1  0  0 | 0 |
t23 |  1  3  0 |  1  1  1 | 0 |
$finish called at time : 247 ns : File "C:/Final_228/Final_228.srcs/sim_1/new/mc_TB.v" Line 35
